รหัสสินค้า,หมวดสินค้า,ชื่อสินค้า,ประเภทสินค้า,ประเภทสินค้าย่อย,หน่วยนับ,ราคาต่อหน่วยนับ,ปีงบประมาณ,รายการลำดับที่ id ในปีงบนั้น,รายการในแผน/นอกแผน,จำนวนยกยอดมา,มูลค่ายกยอดมา,จำนวนที่ต้องการใช้ในปี,มูลค่ารวมที่ต้องใช้ในปี,จำนวนที่ต้องซื้อเพิ่มในปี,มูลค่าที่ต้องซื้อเพิ่มในปี(บาท),หน่วยงานที่มีหน้าที่จัดซื้อ
P230-000079,วัสดุใช้ไป,ช้อน ชนิดสแตนเลส แบบสั้น,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,โหล,35.00,2568,79,ในแผน,36.00,"1,260.00",90.00,"3,150.00",54.00,"1,890.00",กลุ่มงานบริหารทั่วไป
P230-000080,วัสดุใช้ไป,เชือก ชนิดปอแก้ว,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,ม้วน,50.00,2568,80,ในแผน,27.00,"1,350.00",165.00,"8,250.00",138.00,"6,900.00",กลุ่มงานบริหารทั่วไป
P230-000081,วัสดุใช้ไป,ด้ามมีดโกน ชนิดพลาสติก แบบปลี่ยนใบมีดได้,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,อัน,50.00,2568,81,ในแผน,0.00,0.00,0.00,0.00,0.00,0.00,กลุ่มงานบริหารทั่วไป
P230-000082,วัสดุใช้ไป,ด้ามมีดโกน ชนิดพลาสติก แบบใช้แล้วทิ้ง,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,อัน,35.00,2568,82,ในแผน,118.00,"4,130.00",480.00,"16,800.00",362.00,"12,670.00",กลุ่มงานบริหารทั่วไป
P230-000083,วัสดุใช้ไป,ตะกร้า ชนิดพลาสติก แบบทรงกลม,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,ใบ,250.00,2568,83,ในแผน,0.00,0.00,0.00,0.00,0.00,0.00,กลุ่มงานบริหารทั่วไป
P230-000084,วัสดุใช้ไป,ตะไคร้,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,กิโลกรัม,50.00,2568,84,ในแผน,0.00,0.00,0.00,0.00,0.00,0.00,กลุ่มงานบริหารทั่วไป
P230-000085,วัสดุใช้ไป,เตา Hotplate แบบใช้ไฟฟ้า ขนาด 9 นิ้ว,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,ตัว,"4,000.00",2568,85,ในแผน,0.00,0.00,4.00,"16,000.00",4.00,"16,000.00",กลุ่มงานบริหารทั่วไป
P230-000086,วัสดุใช้ไป,ถังขยะ ชนิดพลาสติก แบบเท้าเหยียบ ขนาด 42 ลิตร,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,ใบ,890.00,2568,86,ในแผน,0.00,0.00,16.00,"14,240.00",16.00,"14,240.00",กลุ่มงานบริหารทั่วไป
P230-000087,วัสดุใช้ไป,ถุงขยะ ชนิดพลาสติก ขนาด 24*28 นิ้ว สีเขียว,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,กิโลกรัม,65.00,2568,87,ในแผน,145.00,"9,425.00",555.00,"36,075.00",410.00,"26,650.00",กลุ่มงานบริหารทั่วไป
P230-000088,วัสดุใช้ไป,ถุงขยะ ชนิดพลาสติก ขนาด 36*45 นิ้ว สีเขียว,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,กิโลกรัม,65.00,2568,88,ในแผน,250.00,"16,250.00",674.00,"43,810.00",424.00,"27,560.00",กลุ่มงานบริหารทั่วไป
P230-000089,วัสดุใช้ไป,ถุงขยะ ชนิดพลาสติก ขนาด 24*28 นิ้ว สีดำ,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,กิโลกรัม,50.00,2568,89,ในแผน,526.00,"26,300.00","1,587.00","79,350.00","1,061.00","53,050.00",กลุ่มงานบริหารทั่วไป
P230-000090,วัสดุใช้ไป,ถุงขยะ ชนิดพลาสติก ขนาด 36*45 นิ้ว สีดำ,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,กิโลกรัม,50.00,2568,90,ในแผน,15.00,750.00,671.00,"33,550.00",656.00,"32,800.00",กลุ่มงานบริหารทั่วไป
P230-000091,วัสดุใช้ไป,ถุงขยะ ชนิดพลาสติก ขนาด 18*22 นิ้ว สีแดง,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,กิโลกรัม,60.00,2568,91,ในแผน,0.00,0.00,0.00,0.00,0.00,0.00,กลุ่มงานบริหารทั่วไป
P230-000092,วัสดุใช้ไป,ถุงขยะ ชนิดพลาสติก ขนาด 24*28 นิ้ว สีแดง,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,กิโลกรัม,70.00,2568,92,ในแผน,118.00,"8,260.00","1,094.00","76,580.00",976.00,"68,320.00",กลุ่มงานบริหารทั่วไป
P230-000093,วัสดุใช้ไป,ถุงขยะ ชนิดพลาสติก ขนาด 36*45 นิ้ว สีแดง,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,กิโลกรัม,70.00,2568,93,ในแผน,80.00,"5,600.00",239.00,"16,730.00",159.00,"11,130.00",กลุ่มงานบริหารทั่วไป
