id,หมวด,ประเภท,ประเภทย่อย,ชื่อสินค้า,จำนวนที่ต้องการใช้,หน่วยนับ,ราคาต่อหน่วย,คนที่ต้องการใช้(แผนก),จำนวนที่อนุมัติให้ใช้ได้ในปีงบนั้นๆ (โควต้า)
P230-000032,วัสดุใช้ไป,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,หมึก Printer Ink jet L5190 สีดำ,0,กล่อง,350,กลุ่มงานบริหารทั่วไป,0
P230-000033,วัสดุใช้ไป,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,หมึก Printer Ink jet L5190 สีฟ้า,0,กล่อง,350,กลุ่มงานบริหารทั่วไป,0
P230-000034,วัสดุใช้ไป,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,หมึก Printer Ink jet L5190 สีเหลือง,0,กล่อง,350,กลุ่มงานบริหารทั่วไป,0
P230-000035,วัสดุใช้ไป,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,หมึก Printer Ink jet T6641 สีดำ,13,ขวด,290,กลุ่มงานบริหารทั่วไป,13
P230-000036,วัสดุใช้ไป,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,หมึก Printer Ink jet T6641 สีฟ้า,4,ขวด,290,กลุ่มงานบริหารทั่วไป,4
P230-000037,วัสดุใช้ไป,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,หมึก Printer Ink jet T6641 สีชมพู,4,ขวด,290,กลุ่มงานบริหารทั่วไป,4
P230-000038,วัสดุใช้ไป,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,หมึก Printer Ink jet T6641 สีเหลือง,4,ขวด,290,กลุ่มงานบริหารทั่วไป,4
P230-000039,วัสดุใช้ไป,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,ยกเลิก หมึก Printer Ink jet T7741 สีดำ,0,ขวด,700,กลุ่มงานบริหารทั่วไป,0
P230-000040,วัสดุใช้ไป,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,หมึก Printer Laser 107A,90,กล่อง,990,กลุ่มงานบริหารทั่วไป,90
P230-000041,วัสดุใช้ไป,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,หมึก Printer Laser 225,30,กล่อง,430,กลุ่มงานบริหารทั่วไป,30
P230-000042,วัสดุใช้ไป,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,หมึก Printer Laser 30A,34,กล่อง,890,กลุ่มงานบริหารทั่วไป,34
P230-000043,วัสดุใช้ไป,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,หมึก Printer Laser 355,0,กล่อง,670,กลุ่มงานบริหารทั่วไป,0
P230-000044,วัสดุใช้ไป,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,หมึก Printer Laser 472,3,กล่อง,980,กลุ่มงานบริหารทั่วไป,3
P230-000045,วัสดุใช้ไป,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,หมึก Printer Laser 48A,0,กล่อง,"1,190.00",กลุ่มงานบริหารทั่วไป,0
P230-000046,วัสดุใช้ไป,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,หมึก Printer Laser 79A,4,กล่อง,690,กลุ่มงานบริหารทั่วไป,4
P230-000047,วัสดุใช้ไป,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,หมึก Printer Laser 83A,1,กล่อง,390,กลุ่มงานบริหารทั่วไป,1
P230-000048,วัสดุใช้ไป,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,หมึก Printer Laser 85A,2,กล่อง,390,กลุ่มงานบริหารทั่วไป,2
P230-000049,วัสดุใช้ไป,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,หมึก Printer Laser Fuji m285Z P235,144,กล่อง,980,กลุ่มงานบริหารทั่วไป,144
P230-000050,วัสดุใช้ไป,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,ยกเลิก หมึก Printer Laser TN-2060,0,กล่อง,490,กลุ่มงานบริหารทั่วไป,0
P230-000051,วัสดุใช้ไป,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,หัว LAN,1,กล่อง,"1,400.00",กลุ่มงานบริหารทั่วไป,1
P230-000052,วัสดุใช้ไป,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,ยกเลิก Hardisk ชนิด SATA/SSD External ขนาด 1 Tb,0,อัน,"1,800.00",กลุ่มงานบริหารทั่วไป,0
P230-000053,วัสดุใช้ไป,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,ยกเลิก Hardisk ชนิด Surveillance สำหรับกล้องวงจรปิด (NVR) ขนาด 4 Tb,0,อัน,"3,790.00",กลุ่มงานบริหารทั่วไป,0
P230-000054,วัสดุใช้ไป,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,ยกเลิก สาย LAN ชนิด CAT5 ขนาด 305 เมตร/กล่อง,0,กล่อง,"2,750.00",กลุ่มงานบริหารทั่วไป,0
P230-000055,วัสดุใช้ไป,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,ยกเลิก หมึก Printer Laser 230A,0,กล่อง,890,กลุ่มงานบริหารทั่วไป,0
P230-000056,วัสดุใช้ไป,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,ยกเลิก หัว LAN ชนิด CAT5 10 อัน/pack,0,pack,60,กลุ่มงานบริหารทั่วไป,0
P230-000057,วัสดุใช้ไป,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,หมึก Printer Ink jet Epson 003 สีชมพู,5,ขวด,290,กลุ่มงานบริหารทั่วไป,5
P230-000058,วัสดุใช้ไป,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,หมึก Printer Ink jet Epson 003 สีดำ,6,ขวด,290,กลุ่มงานบริหารทั่วไป,6
P230-000059,วัสดุใช้ไป,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,หมึก Printer Ink jet Epson 003 สีฟ้า,6,ขวด,290,กลุ่มงานบริหารทั่วไป,6
P230-000060,วัสดุใช้ไป,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,หมึก Printer Ink jet Epson 003 สีเหลือง,6,ขวด,290,กลุ่มงานบริหารทั่วไป,6
P230-000061,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,"กรวยกระดาษ สำหรับดื่มน้ำ ขนาดบรรจุ 5,000 ใบ",15,ลัง,900,กลุ่มงานบริหารทั่วไป,15
P230-000062,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,กระดาษชำระ ขนาดเล็ก,20,ม้วน,6,กลุ่มงานบริหารทั่วไป,20
P230-000063,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,กระดาษชำระ ชนิดม้วน แบบ 2 ชั้น ขนาดยาว 300 เมตร,819,ม้วน,65,กลุ่มงานบริหารทั่วไป,819
P230-000064,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,กระดาษเช็ดมือ,"4,722.00",ม้วน,60,กลุ่มงานบริหารทั่วไป,"4,722.00"
P230-000065,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,กระทะไฟฟ้า แบบเคลือบและมีซึ้ง,1,ชุด,"1,290.00",กลุ่มงานบริหารทั่วไป,1
P230-000066,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,กระป๋องฉีดน้ำ,50,อัน,35,กลุ่มงานบริหารทั่วไป,50
P230-000067,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,กล่องใส่กระดาษเช็ดมือ,4,ใบ,500,กลุ่มงานบริหารทั่วไป,4
P230-000068,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,กล่องใส่สบู่เหลว แบบติดผนัง,3,ใบ,300,กลุ่มงานบริหารทั่วไป,3
P230-000069,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,ก้อนดับกลิ่น,375,ก้อน,35,กลุ่มงานบริหารทั่วไป,375
P230-000070,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,เกลือเม็ด,0,กิโลกรัม,12,กลุ่มงานบริหารทั่วไป,0
P230-000071,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,แก้วน้ำ แบบทรงสูง,6,ใบ,15,กลุ่มงานบริหารทั่วไป,6
P230-000072,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,แก้วน้ำ ชนิดพลาสติก ขนาด 4 ออนซ์,0,ใบ,1,กลุ่มงานบริหารทั่วไป,0
P230-000073,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,แก้วน้ำ ชนิดพลาสติก ขนาด 6 ออนซ์,"10,000.00",ใบ,1,กลุ่มงานบริหารทั่วไป,"10,000.00"
P230-000074,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,แก้วน้ำ ชนิดอลูมิเนียม,0,ใบ,30,กลุ่มงานบริหารทั่วไป,0
P230-000075,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,ขวดปั๊ม ชนิดพลาสติก สำหรับใส่น้ำยาแอลกอฮอล์,8,ขวด,40,กลุ่มงานบริหารทั่วไป,8
P230-000076,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,ขันน้ำ ชนิดพลาสติก แบบมีด้าม,8,ใบ,25,กลุ่มงานบริหารทั่วไป,8
P230-000077,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,ข่า,0,กิโลกรัม,60,กลุ่มงานบริหารทั่วไป,0
P230-000078,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,ขิง,0,กิโลกรัม,60,กลุ่มงานบริหารทั่วไป,0
P230-000079,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,ช้อน ชนิดสแตนเลส แบบสั้น,90,โหล,35,กลุ่มงานบริหารทั่วไป,90
P230-000080,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,เชือก ชนิดปอแก้ว,165,ม้วน,50,กลุ่มงานบริหารทั่วไป,165
P230-000081,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,ด้ามมีดโกน ชนิดพลาสติก แบบปลี่ยนใบมีดได้,0,อัน,50,กลุ่มงานบริหารทั่วไป,0
P230-000082,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,ด้ามมีดโกน ชนิดพลาสติก แบบใช้แล้วทิ้ง,480,อัน,35,กลุ่มงานบริหารทั่วไป,480
P230-000083,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,ตะกร้า ชนิดพลาสติก แบบทรงกลม,0,ใบ,250,กลุ่มงานบริหารทั่วไป,0
P230-000084,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,ตะไคร้,0,กิโลกรัม,50,กลุ่มงานบริหารทั่วไป,0
P230-000085,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,เตา Hotplate แบบใช้ไฟฟ้า ขนาด 9 นิ้ว,4,ตัว,"4,000.00",กลุ่มงานบริหารทั่วไป,4
P230-000086,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,ถังขยะ ชนิดพลาสติก แบบเท้าเหยียบ ขนาด 42 ลิตร,16,ใบ,890,กลุ่มงานบริหารทั่วไป,16
P230-000087,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,ถุงขยะ ชนิดพลาสติก ขนาด 24*28 นิ้ว สีเขียว,555,กิโลกรัม,65,กลุ่มงานบริหารทั่วไป,555
P230-000088,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,ถุงขยะ ชนิดพลาสติก ขนาด 36*45 นิ้ว สีเขียว,674,กิโลกรัม,65,กลุ่มงานบริหารทั่วไป,674
P230-000089,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,ถุงขยะ ชนิดพลาสติก ขนาด 24*28 นิ้ว สีดำ,"1,587.00",กิโลกรัม,50,กลุ่มงานบริหารทั่วไป,"1,587.00"
P230-000090,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,ถุงขยะ ชนิดพลาสติก ขนาด 36*45 นิ้ว สีดำ,671,กิโลกรัม,50,กลุ่มงานบริหารทั่วไป,671
P230-000091,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,ถุงขยะ ชนิดพลาสติก ขนาด 18*22 นิ้ว สีแดง,0,กิโลกรัม,60,กลุ่มงานบริหารทั่วไป,0
P230-000092,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,ถุงขยะ ชนิดพลาสติก ขนาด 24*28 นิ้ว สีแดง,"1,094.00",กิโลกรัม,70,กลุ่มงานบริหารทั่วไป,"1,094.00"
P230-000093,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,ถุงขยะ ชนิดพลาสติก ขนาด 36*45 นิ้ว สีแดง,239,กิโลกรัม,70,กลุ่มงานบริหารทั่วไป,239
P230-000094,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,ถุงขยะ ชนิดพลาสติก ขนาด 24*28 นิ้ว สีเหลือง,444,กิโลกรัม,70,กลุ่มงานบริหารทั่วไป,444
P230-000095,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,ถุงขยะ ชนิดพลาสติก ขนาด 36*45 นิ้ว สีเหลือง,"1,005.00",กิโลกรัม,60,กลุ่มงานบริหารทั่วไป,"1,005.00"
P230-000096,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,ถุงขยะ ชนิดพลาสติก ขนาด 16*18 นิ้ว สีแดง,2,กิโลกรัม,60,กลุ่มงานบริหารทั่วไป,2
P230-000097,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,ถุงขยะ ชนิดพลาสติก ขนาด 28*40 นิ้ว สีแดง,0,กิโลกรัม,60,กลุ่มงานบริหารทั่วไป,0
P230-000098,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,ถุง ชนิดพลาสติก ขนาด 16*26 นิ้ว สีใส,193,แพค,45,กลุ่มงานบริหารทั่วไป,193
P230-000099,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,ถุง ชนิดพลาสติก ขนาด 4.5*7 นิ้ว สีใส,67,แพค,45,กลุ่มงานบริหารทั่วไป,67
P230-000100,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,ถุง ชนิดพลาสติก ขนาด 6*9 นิ้ว สีใส,85,แพค,45,กลุ่มงานบริหารทั่วไป,85
P230-000101,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,ถุง ชนิดพลาสติก ขนาด 8*12 นิ้ว สีใส,150,แพค,45,กลุ่มงานบริหารทั่วไป,150
P230-000102,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,ถุงมือ ชนิด PVC,0,คู่,45,กลุ่มงานบริหารทั่วไป,0
P230-000103,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,ถุงมือ ชนิดยาง แบบรัดข้อ เบอร์ L,14,คู่,120,กลุ่มงานบริหารทั่วไป,14
P230-000104,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,ถุงมือ ชนิดยาง แบบรัดข้อ เบอร์ M,30,คู่,120,กลุ่มงานบริหารทั่วไป,30
P230-000105,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,ถุงมือ ชนิดยาง แบบรัดข้อ เบอร์ L สีเขียว,0,คู่,120,กลุ่มงานบริหารทั่วไป,0
P230-000106,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,ถุงมือ ชนิดยาง เบอร์ L สีส้ม,47,คู่,45,กลุ่มงานบริหารทั่วไป,47
P230-000107,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,ถุงมือ ชนิดยาง เบอร์ M สีส้ม,61,คู่,45,กลุ่มงานบริหารทั่วไป,61
P230-000108,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,ถุงมือ ชนิดยาง แบบอเนกประสงค์ เบอร์ L,2,คู่,45,กลุ่มงานบริหารทั่วไป,2
P230-000109,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,ถุงมือ ชนิดยาง แบบอเนกประสงค์ เบอร์ M,4,คู่,45,กลุ่มงานบริหารทั่วไป,4
P230-000110,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,ถุง ชนิดพลาสติก ขนาด 30*40 นิ้ว สีใส,0,แพค,120,กลุ่มงานบริหารทั่วไป,0
P230-000111,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,ถุงหิ้ว ชนิดพลาสติก ขนาด 12*24 นิ้ว สีขาว,356,แพค,45,กลุ่มงานบริหารทั่วไป,356
P230-000112,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,ถุงหิ้ว ชนิดพลาสติก ขนาด 15*30 นิ้ว สีขาว,50,แพค,45,กลุ่มงานบริหารทั่วไป,50
P230-000113,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,ถุงหิ้ว ชนิดพลาสติก ขนาด 8*16 นิ้ว สีขาว,989,แพค,45,กลุ่มงานบริหารทั่วไป,989
P230-000114,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,ถุงหิ้ว ชนิดพลาสติก ขนาด 12*26 นิ้ว สีขาว,662,แพค,45,กลุ่มงานบริหารทั่วไป,662
P230-000115,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,ที่ตักขยะ ชนิดพลาสติก แบบมีด้ามจับ,26,อัน,65,กลุ่มงานบริหารทั่วไป,26
P230-000116,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,ที่ตักขยะสังกะสี ชนิดสังกะสี แบบมีด้ามจับ,5,อัน,95,กลุ่มงานบริหารทั่วไป,5
P230-000117,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,น้ำมันงาสกัดเย็น,0,ขวด,300,กลุ่มงานบริหารทั่วไป,0
P230-000118,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,น้ำมันมะพร้าว,0,กิโลกรัม,90,กลุ่มงานบริหารทั่วไป,0
P230-000119,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,น้ำยา สำหรับเช็ดกระจก,14,แกลลอน,130,กลุ่มงานบริหารทั่วไป,14
P230-000120,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,น้ำยา สำหรับซาวผ้า,0,แกลลอน,250,กลุ่มงานบริหารทั่วไป,0
P230-000121,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,น้ำยา ชนิดสูตรน้ำ สำหรับดันฝุ่น,72,แกลลอน,370,กลุ่มงานบริหารทั่วไป,72
P230-000122,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,น้ำยา ชนิดสูตรน้ำมันใส สำหรับดันฝุ่น,42,แกลลอน,430,กลุ่มงานบริหารทั่วไป,42
P230-000123,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,น้ำยา สำหรับทำความสะอาดพื้น,346,แกลลอน,200,กลุ่มงานบริหารทั่วไป,346
P230-000124,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,น้ำยา สำหรับล้างจาน,144,แกลลอน,120,กลุ่มงานบริหารทั่วไป,144
P230-000125,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,น้ำยา สำหรับล้างมือ,184,แกลลอน,180,กลุ่มงานบริหารทั่วไป,184
