id,stock_id,รับเข้า,วันที่รับเข้า/จ่ายออก,หมวด,ประเภท,ประเภทย่อย,รหัสสินค้า,ชื่อสินค้า,รูปสินค้า,หน่วย,lot สินค้า,ราคาสินค้า,รับเข้าจากบริษัท,เลขที่บิลรับเข้า,แผนกที่เบิกจ่าย,เลขที่ใบเบิก,จำนวนโควต้าเบิก,จำนวนยกมา,มูลค่ายกมา,ราคารับเข้า/จ่ายออก,จำนวนรับเข้า/จ่ายออก,มูลค่ารับเข้า/จ่ายออก,จำนวนคงเหลือ,มูลค่าคงเหลือ,สถานะคงคลัง
,INP230671006001,รับเข้า,1/10/2567,วัสดุใช้ไป,วัสดุการเกษตร,วัสดุการเกษตร,P230-000011,ลูกยางกดน้ำมัน สำหรับเครื่องตัดหญ้า,,ลูก,,50,คลัง วัสดุใช้ไป ยกยอดมา,P230-2567,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,INP230671006001,รับเข้า,1/10/2567,วัสดุใช้ไป,วัสดุการเกษตร,วัสดุการเกษตร,P230-000012,โซ่ สำหรับเลื่อยยนต์ ขนาด 11.5 นิ้ว,,เส้น,,630,คลัง วัสดุใช้ไป ยกยอดมา,P230-2567,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,INP230671006001,รับเข้า,1/10/2567,วัสดุใช้ไป,วัสดุการเกษตร,วัสดุการเกษตร,P230-000013,กรรไกร ชนิดตัดต้นไม้ต่ำ สำหรับตัดแต่งกิ่ง,,อัน,,300,คลัง วัสดุใช้ไป ยกยอดมา,P230-2567,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,INP230671006001,รับเข้า,1/10/2567,วัสดุใช้ไป,วัสดุการเกษตร,วัสดุการเกษตร,P230-000014,จาระบี สำหรับเครื่องตัดหญ้า,,กระปุก,,120,คลัง วัสดุใช้ไป ยกยอดมา,P230-2567,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,INP230671006001,รับเข้า,1/10/2567,วัสดุใช้ไป,วัสดุการเกษตร,วัสดุการเกษตร,P230-000015,ใบมีด สำหรับเครื่องตัดหญ้า,,อัน,,100,คลัง วัสดุใช้ไป ยกยอดมา,P230-2567,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,INP230671006001,รับเข้า,1/10/2567,วัสดุใช้ไป,วัสดุการเกษตร,วัสดุการเกษตร,P230-000016,เลื่อย ชนิดขอชัก สำหรับตัดแต่งกิ่ง,,อัน,,300.00,คลัง วัสดุใช้ไป ยกยอดมา,P230-2567,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,INP230671006001,รับเข้า,1/10/2567,วัสดุใช้ไป,วัสดุการเกษตร,วัสดุการเกษตร,P230-000017,สายยาง สำหรับรดน้ำต้นไม้ ขนาด 5/8 นิ้ว,,เส้น,,360,คลัง วัสดุใช้ไป ยกยอดมา,P230-2567,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,INP230671006001,รับเข้า,1/10/2567,วัสดุใช้ไป,วัสดุการเกษตร,วัสดุการเกษตร,P230-000018,สายสะพาย สำหรับเครื่องตัดหญ้า,,อัน,,160,คลัง วัสดุใช้ไป ยกยอดมา,P230-2567,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,INP230671006001,รับเข้า,1/10/2567,วัสดุใช้ไป,วัสดุการเกษตร,วัสดุการเกษตร,P230-000019,หัวเทียน สำหรับเครื่องตัดหญ้า,,อัน,,30,คลัง วัสดุใช้ไป ยกยอดมา,P230-2567,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,INP230671006001,รับเข้า,1/10/2567,วัสดุใช้ไป,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,P230-000020,คีย์บอร์ด แบบ USB,,อัน,,320,คลัง วัสดุใช้ไป ยกยอดมา,P230-2567,,,,1.00,320.00,0.00,0.00,0.00,1.00,320.00,
,INP230671006001,รับเข้า,1/10/2567,วัสดุใช้ไป,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,P230-000021,ซองใส่ CD แบบใส (50 ซอง/แพค),,แพค,,70,คลัง วัสดุใช้ไป ยกยอดมา,P230-2567,,,,9.00,630.00,0.00,0.00,0.00,9.00,630.00,
,INP230671006001,รับเข้า,1/10/2567,วัสดุใช้ไป,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,P230-000022,ผ้าหมึก Printer ชนิดแคร่สั้น แบบ LQ300,,กล่อง,,170,คลัง วัสดุใช้ไป ยกยอดมา,P230-2567,,,,8.00,"1,360.00",0.00,0.00,0.00,8.00,"1,360.00",
,INP230671006001,รับเข้า,1/10/2567,วัสดุใช้ไป,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,P230-000023,ผ้าหมึก Printer ชนิดแคร่สั้น แบบ LQ310,,กล่อง,,150,คลัง วัสดุใช้ไป ยกยอดมา,P230-2567,,,,44.00,"6,600.00",0.00,0.00,0.00,44.00,"6,600.00",
,INP230671006001,รับเข้า,1/10/2567,วัสดุใช้ไป,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,P230-000024,แผ่น CD-R (50 ซอง/แพค),,หลอด,,280,คลัง วัสดุใช้ไป ยกยอดมา,P230-2567,,,,9.00,"2,520.00",0.00,0.00,0.00,9.00,"2,520.00",
,INP230671006001,รับเข้า,1/10/2567,วัสดุใช้ไป,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,P230-000025,เม้าท์ แบบ USB,,อัน,,250,คลัง วัสดุใช้ไป ยกยอดมา,P230-2567,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,INP230671006001,รับเข้า,1/10/2567,วัสดุใช้ไป,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,P230-000026,สาย LAN,,กล่อง,,"3,950.00",คลัง วัสดุใช้ไป ยกยอดมา,P230-2567,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,INP230671006001,รับเข้า,1/10/2567,วัสดุใช้ไป,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,P230-000027,หมึก Printer Ink jet GT53 สีดำ,,ขวด,,390,คลัง วัสดุใช้ไป ยกยอดมา,P230-2567,,,,5.00,"1,950.00",0.00,0.00,0.00,5.00,"1,950.00",
,INP230671006001,รับเข้า,1/10/2567,วัสดุใช้ไป,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,P230-000028,หมึก Printer Ink jet GT52 สีชมพู,,ขวด,,390,คลัง วัสดุใช้ไป ยกยอดมา,P230-2567,,,,7.00,"2,730.00",0.00,0.00,0.00,7.00,"2,730.00",
,INP230671006001,รับเข้า,1/10/2567,วัสดุใช้ไป,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,P230-000029,หมึก Printer Ink jet GT52 สีฟ้า,,ขวด,,390,คลัง วัสดุใช้ไป ยกยอดมา,P230-2567,,,,7.00,"2,730.00",0.00,0.00,0.00,7.00,"2,730.00",
,INP230671006001,รับเข้า,1/10/2567,วัสดุใช้ไป,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,P230-000030,หมึก Printer Ink jet GT52 สีเหลือง,,ขวด,,390,คลัง วัสดุใช้ไป ยกยอดมา,P230-2567,,,,7.00,"2,730.00",0.00,0.00,0.00,7.00,"2,730.00",
,INP230671006001,รับเข้า,1/10/2567,วัสดุใช้ไป,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,P230-000031,หมึก Printer Ink jet L5190 สีชมพู,,กล่อง,,350,คลัง วัสดุใช้ไป ยกยอดมา,P230-2567,,,,4.00,"1,400.00",0.00,0.00,0.00,4.00,"1,400.00",
,INP230671006001,รับเข้า,1/10/2567,วัสดุใช้ไป,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,P230-000032,หมึก Printer Ink jet L5190 สีดำ,,กล่อง,,350,คลัง วัสดุใช้ไป ยกยอดมา,P230-2567,,,,3.00,"1,050.00",0.00,0.00,0.00,3.00,"1,050.00",
,INP230671006001,รับเข้า,1/10/2567,วัสดุใช้ไป,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,P230-000033,หมึก Printer Ink jet L5190 สีฟ้า,,กล่อง,,350,คลัง วัสดุใช้ไป ยกยอดมา,P230-2567,,,,2.00,700.00,0.00,0.00,0.00,2.00,700.00,
,INP230671006001,รับเข้า,1/10/2567,วัสดุใช้ไป,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,P230-000034,หมึก Printer Ink jet L5190 สีเหลือง,,กล่อง,,350,คลัง วัสดุใช้ไป ยกยอดมา,P230-2567,,,,2.00,700.00,0.00,0.00,0.00,2.00,700.00,
,INP230671006001,รับเข้า,1/10/2567,วัสดุใช้ไป,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,P230-000035,หมึก Printer Ink jet T6641 สีดำ,,ขวด,,290,คลัง วัสดุใช้ไป ยกยอดมา,P230-2567,,,,3.00,870.00,0.00,0.00,0.00,3.00,870.00,
,INP230671006001,รับเข้า,1/10/2567,วัสดุใช้ไป,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,P230-000036,หมึก Printer Ink jet T6641 สีฟ้า,,ขวด,,290,คลัง วัสดุใช้ไป ยกยอดมา,P230-2567,,,,3.00,870.00,0.00,0.00,0.00,3.00,870.00,
,INP230671006001,รับเข้า,1/10/2567,วัสดุใช้ไป,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,P230-000037,หมึก Printer Ink jet T6641 สีชมพู,,ขวด,,290,คลัง วัสดุใช้ไป ยกยอดมา,P230-2567,,,,3.00,870.00,0.00,0.00,0.00,3.00,870.00,
,INP230671006001,รับเข้า,1/10/2567,วัสดุใช้ไป,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,P230-000038,หมึก Printer Ink jet T6641 สีเหลือง,,ขวด,,290,คลัง วัสดุใช้ไป ยกยอดมา,P230-2567,,,,3.00,870.00,0.00,0.00,0.00,3.00,870.00,
,INP230671006001,รับเข้า,1/10/2567,วัสดุใช้ไป,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,P230-000039,ยกเลิก หมึก Printer Ink jet T7741 สีดำ,,ขวด,,700,คลัง วัสดุใช้ไป ยกยอดมา,P230-2567,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,INP230671006001,รับเข้า,1/10/2567,วัสดุใช้ไป,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,P230-000040,หมึก Printer Laser 107A,,กล่อง,,990,คลัง วัสดุใช้ไป ยกยอดมา,P230-2567,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,INP230671006001,รับเข้า,1/10/2567,วัสดุใช้ไป,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,P230-000041,หมึก Printer Laser 225,,กล่อง,,430,คลัง วัสดุใช้ไป ยกยอดมา,P230-2567,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,INP230671006001,รับเข้า,1/10/2567,วัสดุใช้ไป,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,P230-000042,หมึก Printer Laser 30A,,กล่อง,,890,คลัง วัสดุใช้ไป ยกยอดมา,P230-2567,,,,10.00,"8,900.00",0.00,0.00,0.00,10.00,"8,900.00",
,INP230671006001,รับเข้า,1/10/2567,วัสดุใช้ไป,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,P230-000043,หมึก Printer Laser 355,,กล่อง,,670,คลัง วัสดุใช้ไป ยกยอดมา,P230-2567,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,INP230671006001,รับเข้า,1/10/2567,วัสดุใช้ไป,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,P230-000044,หมึก Printer Laser 472,,กล่อง,,980.00,คลัง วัสดุใช้ไป ยกยอดมา,P230-2567,,,,6.00,"5,880.00",0.00,0.00,0.00,6.00,"5,880.00",
,INP230671006001,รับเข้า,1/10/2567,วัสดุใช้ไป,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,P230-000045,หมึก Printer Laser 48A,,กล่อง,,"1,190.00",คลัง วัสดุใช้ไป ยกยอดมา,P230-2567,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,INP230671006001,รับเข้า,1/10/2567,วัสดุใช้ไป,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,P230-000046,หมึก Printer Laser 79A,,กล่อง,,690,คลัง วัสดุใช้ไป ยกยอดมา,P230-2567,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,INP230671006001,รับเข้า,1/10/2567,วัสดุใช้ไป,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,P230-000047,หมึก Printer Laser 83A,,กล่อง,,390,คลัง วัสดุใช้ไป ยกยอดมา,P230-2567,,,,4.00,"1,560.00",0.00,0.00,0.00,4.00,"1,560.00",
,INP230671006001,รับเข้า,1/10/2567,วัสดุใช้ไป,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,P230-000048,หมึก Printer Laser 85A,,กล่อง,,390,คลัง วัสดุใช้ไป ยกยอดมา,P230-2567,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,INP230671006001,รับเข้า,1/10/2567,วัสดุใช้ไป,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,P230-000049,หมึก Printer Laser Fuji m285Z P235,,กล่อง,,980,คลัง วัสดุใช้ไป ยกยอดมา,P230-2567,,,,6.00,"5,880.00",0.00,0.00,0.00,6.00,"5,880.00",
,INP230671006001,รับเข้า,1/10/2567,วัสดุใช้ไป,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,P230-000050,ยกเลิก หมึก Printer Laser TN-2060,,กล่อง,,490,คลัง วัสดุใช้ไป ยกยอดมา,P230-2567,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,INP230671006001,รับเข้า,1/10/2567,วัสดุใช้ไป,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,P230-000051,หัว LAN,,กล่อง,,"1,400.00",คลัง วัสดุใช้ไป ยกยอดมา,P230-2567,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,INP230671006001,รับเข้า,1/10/2567,วัสดุใช้ไป,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,P230-000052,ยกเลิก Hardisk ชนิด SATA/SSD External ขนาด 1 Tb,,อัน,,"1,800.00",คลัง วัสดุใช้ไป ยกยอดมา,P230-2567,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,INP230671006001,รับเข้า,1/10/2567,วัสดุใช้ไป,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,P230-000053,ยกเลิก Hardisk ชนิด Surveillance สำหรับกล้องวงจรปิด (NVR) ขนาด 4 Tb,,อัน,,"3,790.00",คลัง วัสดุใช้ไป ยกยอดมา,P230-2567,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,INP230671006001,รับเข้า,1/10/2567,วัสดุใช้ไป,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,P230-000054,ยกเลิก สาย LAN ชนิด CAT5 ขนาด 305 เมตร/กล่อง,,กล่อง,,"2,750.00",คลัง วัสดุใช้ไป ยกยอดมา,P230-2567,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,INP230671006001,รับเข้า,1/10/2567,วัสดุใช้ไป,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,P230-000055,ยกเลิก หมึก Printer Laser 230A,,กล่อง,,890,คลัง วัสดุใช้ไป ยกยอดมา,P230-2567,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,INP230671006001,รับเข้า,1/10/2567,วัสดุใช้ไป,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,P230-000056,ยกเลิก หัว LAN ชนิด CAT5 10 อัน/pack,,pack,,60,คลัง วัสดุใช้ไป ยกยอดมา,P230-2567,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,INP230671006001,รับเข้า,1/10/2567,วัสดุใช้ไป,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,P230-000057,หมึก Printer Ink jet Epson 003 สีชมพู,,ขวด,,290,คลัง วัสดุใช้ไป ยกยอดมา,P230-2567,,,,3.00,870.00,0.00,0.00,0.00,3.00,870.00,
,INP230671006001,รับเข้า,1/10/2567,วัสดุใช้ไป,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,P230-000058,หมึก Printer Ink jet Epson 003 สีดำ,,ขวด,,290,คลัง วัสดุใช้ไป ยกยอดมา,P230-2567,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,INP230671006001,รับเข้า,1/10/2567,วัสดุใช้ไป,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,P230-000059,หมึก Printer Ink jet Epson 003 สีฟ้า,,ขวด,,290,คลัง วัสดุใช้ไป ยกยอดมา,P230-2567,,,,3.00,870.00,0.00,0.00,0.00,3.00,870.00,
,INP230671006001,รับเข้า,1/10/2567,วัสดุใช้ไป,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,P230-000060,หมึก Printer Ink jet Epson 003 สีเหลือง,,ขวด,,290,คลัง วัสดุใช้ไป ยกยอดมา,P230-2567,,,,3.00,870.00,0.00,0.00,0.00,3.00,870.00,
,INP230671006001,รับเข้า,1/10/2567,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,P230-000061,"กรวยกระดาษ สำหรับดื่มน้ำ ขนาดบรรจุ 5,000 ใบ",,ลัง,,900,คลัง วัสดุใช้ไป ยกยอดมา,P230-2567,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,INP230671006001,รับเข้า,1/10/2567,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,P230-000062,กระดาษชำระ ขนาดเล็ก,,ม้วน,,6,คลัง วัสดุใช้ไป ยกยอดมา,P230-2567,,,,156.00,936.00,0.00,0.00,0.00,156.00,936.00,
,INP230671006001,รับเข้า,1/10/2567,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,P230-000063,กระดาษชำระ ชนิดม้วน แบบ 2 ชั้น ขนาดยาว 300 เมตร,,ม้วน,,65,คลัง วัสดุใช้ไป ยกยอดมา,P230-2567,,,,25.00,"1,625.00",0.00,0.00,0.00,25.00,"1,625.00",
,INP230671006001,รับเข้า,1/10/2567,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,P230-000064,กระดาษเช็ดมือ,,ม้วน,,60,คลัง วัสดุใช้ไป ยกยอดมา,P230-2567,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,INP230671006001,รับเข้า,1/10/2567,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,P230-000065,กระทะไฟฟ้า แบบเคลือบและมีซึ้ง,,ชุด,,"1,290.00",คลัง วัสดุใช้ไป ยกยอดมา,P230-2567,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,INP230671006001,รับเข้า,1/10/2567,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,P230-000066,กระป๋องฉีดน้ำ,,อัน,,35,คลัง วัสดุใช้ไป ยกยอดมา,P230-2567,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,INP230671006001,รับเข้า,1/10/2567,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,P230-000067,กล่องใส่กระดาษเช็ดมือ,,ใบ,,500,คลัง วัสดุใช้ไป ยกยอดมา,P230-2567,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,INP230671006001,รับเข้า,1/10/2567,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,P230-000068,กล่องใส่สบู่เหลว แบบติดผนัง,,ใบ,,300,คลัง วัสดุใช้ไป ยกยอดมา,P230-2567,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,INP230671006001,รับเข้า,1/10/2567,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,P230-000069,ก้อนดับกลิ่น,,ก้อน,,35,คลัง วัสดุใช้ไป ยกยอดมา,P230-2567,,,,65.00,"2,275.00",0.00,0.00,0.00,65.00,"2,275.00",
,INP230671006001,รับเข้า,1/10/2567,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,P230-000070,เกลือเม็ด,,กิโลกรัม,,12,คลัง วัสดุใช้ไป ยกยอดมา,P230-2567,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,INP230671006001,รับเข้า,1/10/2567,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,P230-000071,แก้วน้ำ แบบทรงสูง,,ใบ,,15,คลัง วัสดุใช้ไป ยกยอดมา,P230-2567,,,,12.00,180.00,0.00,0.00,0.00,12.00,180.00,
,INP230671006001,รับเข้า,1/10/2567,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,P230-000072,แก้วน้ำ ชนิดพลาสติก ขนาด 4 ออนซ์,,ใบ,,1,คลัง วัสดุใช้ไป ยกยอดมา,P230-2567,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,INP230671006001,รับเข้า,1/10/2567,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,P230-000073,แก้วน้ำ ชนิดพลาสติก ขนาด 6 ออนซ์,,ใบ,,1,คลัง วัสดุใช้ไป ยกยอดมา,P230-2567,,,,"6,750.00","6,750.00",0.00,0.00,0.00,"6,750.00","6,750.00",
,INP230671006001,รับเข้า,1/10/2567,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,P230-000074,แก้วน้ำ ชนิดอลูมิเนียม,,ใบ,,30,คลัง วัสดุใช้ไป ยกยอดมา,P230-2567,,,,8.00,240.00,0.00,0.00,0.00,8.00,240.00,
,INP230671006001,รับเข้า,1/10/2567,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,P230-000075,ขวดปั๊ม ชนิดพลาสติก สำหรับใส่น้ำยาแอลกอฮอล์,,ขวด,,40,คลัง วัสดุใช้ไป ยกยอดมา,P230-2567,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,INP230671006001,รับเข้า,1/10/2567,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,P230-000076,ขันน้ำ ชนิดพลาสติก แบบมีด้าม,,ใบ,,25,คลัง วัสดุใช้ไป ยกยอดมา,P230-2567,,,,10.00,250.00,0.00,0.00,0.00,10.00,250.00,
,INP230671006001,รับเข้า,1/10/2567,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,P230-000077,ข่า,,กิโลกรัม,,60,คลัง วัสดุใช้ไป ยกยอดมา,P230-2567,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,INP230671006001,รับเข้า,1/10/2567,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,P230-000078,ขิง,,กิโลกรัม,,60,คลัง วัสดุใช้ไป ยกยอดมา,P230-2567,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,INP230671006001,รับเข้า,1/10/2567,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,P230-000079,ช้อน ชนิดสแตนเลส แบบสั้น,,โหล,,35,คลัง วัสดุใช้ไป ยกยอดมา,P230-2567,,,,36.00,"1,260.00",0.00,0.00,0.00,36.00,"1,260.00",
