id,หน่วยงาน,เลขที่บันทึกข้อความ,วันที่ขออนุมัติ,ชื่อสินค้า,รหัส/ลำดับสินค้า,หมวด,ประเภท,ประเภทย่อย,จำนวนที่ขออนุมัติ,หน่วยนับ,ราคาต่อหน่วย,มูลค่าที่ขออนุมัติ,กรณีเกิน/นอกแผน (over supply),ผู้ขอความเห็นชอบ,ผู้เห็นชอบ
A230671016003,กลุ่มงานบริหารทั่วไป,พล 0733.301/ พิเศษ,16/10/2567,ใบมีดคัตเตอร์ ขนาดใหญ่,P230-000507,วัสดุใช้ไป,วัสดุสำนักงาน,วัสดุสำนักงาน,12,กล่อง,18,216,จำนวน วงเงิน ราคา,,
A230671016003,กลุ่มงานบริหารทั่วไป,พล 0733.301/ พิเศษ,16/10/2567,กระดาษการ์ด หนา 120 แกรม ขนาด A4 สีเขียว,P230-000425,วัสดุใช้ไป,วัสดุสำนักงาน,วัสดุสำนักงาน,12,ห่อ,90,"1,080.00",จำนวน วงเงิน,,
A230671016004,กลุ่มงานบริหารทั่วไป,พล 0733.301/ พิเศษ,16/10/2567,น้ำมันเชื้อเพลิง ชนิดดีเซล,P230-000338,วัสดุใช้ไป,วัสดุเชื้อเพลิง,วัสดุเชื้อเพลิง,"1,035.00",ลิตร,33.37,"34,538.20",จำนวน วงเงิน,,
A230671016004,กลุ่มงานบริหารทั่วไป,พล 0733.301/ พิเศษ,16/10/2567,น้ำมันเชื้อเพลิง ชนิดเบนซินแก๊สโซฮอลล์ 95,P230-000334,วัสดุใช้ไป,วัสดุเชื้อเพลิง,วัสดุเชื้อเพลิง,107,ลิตร,36.05,"3,857.60",จำนวน วงเงิน,,
A230671017001,กลุ่มงานบริหารทั่วไป,พล 0733.301/ พิเศษ,17/10/2567,ถุงขยะ ชนิดพลาสติก ขนาด 24*28 นิ้ว สีแดง,P230-000092,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,200,กิโลกรัม,60,"12,000.00",จำนวน วงเงิน,,
A230671017001,กลุ่มงานบริหารทั่วไป,พล 0733.301/ พิเศษ,17/10/2567,ถุงขยะ ชนิดพลาสติก ขนาด 36*45 นิ้ว สีแดง,P230-000093,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,200,กิโลกรัม,60,"12,000.00",จำนวน วงเงิน,,
A230671017002,กลุ่มงานบริหารทั่วไป,พล 0733.301/ พิเศษ,17/10/2567,น้ำยา ชนิดสูตรน้ำมันใส สำหรับดันฝุ่น,P230-000122,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,8,แกลลอน,402,"3,216.00",จำนวน วงเงิน ราคา,,
A230671017002,กลุ่มงานบริหารทั่วไป,พล 0733.301/ พิเศษ,17/10/2567,น้ำยา ชนิดสูตรน้ำ สำหรับดันฝุ่น,P230-000121,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,10,แกลลอน,402,"4,020.00",จำนวน วงเงิน ราคา,,
A230671017002,กลุ่มงานบริหารทั่วไป,พล 0733.301/ พิเศษ,17/10/2567,น้ำยา สำหรับทำความสะอาดพื้น,P230-000123,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,40,แกลลอน,176,"7,040.00",จำนวน วงเงิน ราคา,,
A230671017003,กลุ่มงานบริหารทั่วไป,พล 0733.301/ พิเศษ,17/10/2567,น้ำยา สำหรับล้างมือ,P230-000125,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,20,แกลลอน,99,"1,980.00",จำนวน วงเงิน ราคา,,
A230671017003,กลุ่มงานบริหารทั่วไป,พล 0733.301/ พิเศษ,17/10/2567,น้ำยา สำหรับล้างจาน,P230-000124,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,20,แกลลอน,90,"1,800.00",จำนวน วงเงิน,,
A230671017003,กลุ่มงานบริหารทั่วไป,พล 0733.301/ พิเศษ,17/10/2567,กระดาษเช็ดมือ,P230-000064,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,600,ม้วน,42,"25,200.00",จำนวน วงเงิน,,
A230671017004,กลุ่มงานบริหารทั่วไป,พล 0733.301/ พิเศษ,17/10/2567,กระดาษเทอร์มอล สำหรับเครื่อง EDC ขนาด 57*40 มม.,P230-000438,วัสดุใช้ไป,วัสดุสำนักงาน,วัสดุสำนักงาน,100,ม้วน,35,"3,500.00",จำนวน วงเงิน ราคา,,
A230671017004,กลุ่มงานบริหารทั่วไป,พล 0733.301/ พิเศษ,17/10/2567,กระดาษเทอร์มอล ขนาด 80*80 มม.,P230-000440,วัสดุใช้ไป,วัสดุสำนักงาน,วัสดุสำนักงาน,100,ม้วน,60,"6,000.00",จำนวน วงเงิน,,
A230671017004,กลุ่มงานบริหารทั่วไป,พล 0733.301/ พิเศษ,17/10/2567,แฟ้ม เวชระเบียน,P230-000537,วัสดุใช้ไป,วัสดุสำนักงาน,วัสดุสำนักงาน,"4,000.00",แฟ้ม,7.2,"28,800.00",จำนวน วงเงิน,,
A230671017005,กลุ่มงานบริหารทั่วไป,พล 0733.301/ พิเศษ,17/10/2567,ผ้าม็อบ สำหรับถูพื้น แบบเปียก ขนาด 12 นิ้ว,P230-000138,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,12,ผืน,69,828,จำนวน วงเงิน,,
A230671017005,กลุ่มงานบริหารทั่วไป,พล 0733.301/ พิเศษ,17/10/2567,ผงซักฟอก ขนาด 800 กรัม,P230-000135,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,60,ถุง,59,"3,540.00",จำนวน วงเงิน ราคา,,
A230671017005,กลุ่มงานบริหารทั่วไป,พล 0733.301/ พิเศษ,17/10/2567,ถุงขยะ ชนิดพลาสติก ขนาด 36*45 นิ้ว สีดำ,P230-000090,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,200,กิโลกรัม,39,"7,800.00",จำนวน วงเงิน ราคา,,
A230671017005,กลุ่มงานบริหารทั่วไป,พล 0733.301/ พิเศษ,17/10/2567,ยางวง แบบเส้นเล็ก ขนาด 500 กรัม,P230-000157,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,10,ห่อ,110,"1,100.00",จำนวน วงเงิน,,
A230671017005,กลุ่มงานบริหารทั่วไป,พล 0733.301/ พิเศษ,17/10/2567,ไม้กวาด ชนิดทางมะพร้าว,P230-000149,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,12,อัน,50,600,จำนวน วงเงิน ราคา,,
A230671017005,กลุ่มงานบริหารทั่วไป,พล 0733.301/ พิเศษ,17/10/2567,กระป๋องฉีดน้ำ,P230-000066,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,12,อัน,35,420,จำนวน วงเงิน,,
A230671017005,กลุ่มงานบริหารทั่วไป,พล 0733.301/ พิเศษ,17/10/2567,ไม้กวาด ชนิดดอกหญ้า,P230-000148,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,24,อัน,45,"1,080.00",จำนวน วงเงิน,,
A230671017005,กลุ่มงานบริหารทั่วไป,พล 0733.301/ พิเศษ,17/10/2567,"เหยือกน้ำ ชนิดพลาสติก ขนาด 1,000 ซีซี",P230-000183,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,24,ใบ,95,"2,280.00",จำนวน วงเงิน ราคา,,
A230671017005,กลุ่มงานบริหารทั่วไป,พล 0733.301/ พิเศษ,17/10/2567,ฟองน้ำ แบบหุ้มตาข่าย,P230-000143,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,120,อัน,15,"1,800.00",จำนวน วงเงิน,,
A230671017005,กลุ่มงานบริหารทั่วไป,พล 0733.301/ พิเศษ,17/10/2567,ถุงหิ้ว ชนิดพลาสติก ขนาด 12*20 นิ้ว สีขาว,P230-000960,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,100,แพค,42,"4,200.00",จำนวน วงเงิน,,
A230671017005,กลุ่มงานบริหารทั่วไป,พล 0733.301/ พิเศษ,17/10/2567,แปรง ชนิดพลาสติก สำหรับขัดพื้นแบบมีด้ามยาว,P230-000131,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,5,อัน,75,375,จำนวน วงเงิน ราคา,,
A230671017005,กลุ่มงานบริหารทั่วไป,พล 0733.301/ พิเศษ,17/10/2567,ถุงขยะ ชนิดพลาสติก ขนาด 24*28 นิ้ว สีดำ,P230-000089,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,200,กิโลกรัม,39,"7,800.00",จำนวน วงเงิน ราคา,,
A230671017005,กลุ่มงานบริหารทั่วไป,พล 0733.301/ พิเศษ,17/10/2567,แปรง ชนิดพลาสติก สำหรับขัดห้องน้ำ,P230-000132,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,24,อัน,35,840,จำนวน วงเงิน,,
A230671017005,กลุ่มงานบริหารทั่วไป,พล 0733.301/ พิเศษ,17/10/2567,กระดาษชำระ ชนิดม้วน แบบ 2 ชั้น ขนาดยาว 300 เมตร,P230-000063,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,120,ม้วน,62.5,"7,500.00",จำนวน วงเงิน ราคา,,
A230671017005,กลุ่มงานบริหารทั่วไป,พล 0733.301/ พิเศษ,17/10/2567,แก้วน้ำ ชนิดพลาสติก ขนาด 6 ออนซ์,P230-000073,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,500,ใบ,0.4,200,จำนวน วงเงิน,,
A230671017005,กลุ่มงานบริหารทั่วไป,พล 0733.301/ พิเศษ,17/10/2567,"กรวยกระดาษ สำหรับดื่มน้ำ ขนาดบรรจุ 5,000 ใบ",P230-000061,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,2,ลัง,890,"1,780.00",จำนวน วงเงิน ราคา,,
A230671017005,กลุ่มงานบริหารทั่วไป,พล 0733.301/ พิเศษ,17/10/2567,ยางวง แบบเส้นใหญ่ ขนาด 500 กรัม,P230-000158,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,10,ห่อ,110,"1,100.00",จำนวน วงเงิน,,
A230671017005,กลุ่มงานบริหารทั่วไป,พล 0733.301/ พิเศษ,17/10/2567,สก็อตไบร์ท แบบแผ่นใหญ่ ขนาด 6*9 นิ้ว,P230-000173,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,120,แผ่น,25,"3,000.00",จำนวน วงเงิน,,
A230671017005,กลุ่มงานบริหารทั่วไป,พล 0733.301/ พิเศษ,17/10/2567,แก้วน้ำ ชนิดอลูมิเนียม,P230-000074,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,60,ใบ,28,"1,680.00",จำนวน วงเงิน,,
A230671017006,กลุ่มงานบริหารทั่วไป,พล 0733.301/ พิเศษ,17/10/2567,น้ำดื่ม ชนิดบรรจุแกลลอน ขนาด 18 ลิตร,P230-000341,วัสดุใช้ไป,วัสดุสำนักงาน,วัสดุสำนักงาน,546,ถัง,9,"4,914.00",จำนวน วงเงิน,,
A230671017007,กลุ่มงานบริหารทั่วไป,พล 0733.301/ พิเศษ,17/10/2567,น้ำดื่ม ชนิดบรรจุขวด ขนาด 600 ซีซี,P230-000342,วัสดุใช้ไป,วัสดุสำนักงาน,วัสดุสำนักงาน,45,โหล,28,"1,260.00",จำนวน วงเงิน,,
A230671018001,กลุ่มงานบริหารทั่วไป,พล 0733.301/ พิเศษ,18/10/2567,น้ำมันเชื้อเพลิง ชนิดดีเซล,P230-000338,วัสดุใช้ไป,วัสดุเชื้อเพลิง,วัสดุเชื้อเพลิง,"1,104.00",ลิตร,33.37,"36,840.40",จำนวน วงเงิน,,
A230671018001,กลุ่มงานบริหารทั่วไป,พล 0733.301/ พิเศษ,18/10/2567,น้ำมันเชื้อเพลิง ชนิดเบนซินแก๊สโซฮอลล์ 95,P230-000334,วัสดุใช้ไป,วัสดุเชื้อเพลิง,วัสดุเชื้อเพลิง,99,ลิตร,35.61,"3,525.70",จำนวน วงเงิน,,
A230671018002,กลุ่มงานบริหารทั่วไป,พล 0733.301/ พิเศษ,18/10/2567,หลอดไฟ ชนิด LED ขนาด 7 W,P230-000822,วัสดุใช้ไป,วัสดุไฟฟ้า,วัสดุไฟฟ้า,50,หลอด,42,"2,100.00",จำนวน วงเงิน,,
A230671018002,กลุ่มงานบริหารทั่วไป,พล 0733.301/ พิเศษ,18/10/2567,หลอดไฟ ชนิด LED ขนาด 22 W,P230-000358,วัสดุใช้ไป,วัสดุไฟฟ้า,วัสดุไฟฟ้า,50,หลอด,120,"6,000.00",จำนวน วงเงิน,,
A230671018003,กลุ่มงานบริหารทั่วไป,พล 0733.301/ พิเศษ,18/10/2567,สก็อตไบร์ท แบบแผ่นเล็ก ขนาด 4.5*6 นิ้ว,P230-000172,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,360,แผ่น,14,"5,040.00",จำนวน วงเงิน,,
A230671018003,กลุ่มงานบริหารทั่วไป,พล 0733.301/ พิเศษ,18/10/2567,เอี๊ยม ชนิดพลาสติก แบบใช้แล้วทิ้ง ขนาดบรรจุ 100 ชิ้น/ถุง,P230-000184,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,40,ถุง,285,"11,400.00",จำนวน วงเงิน ราคา,,
A230671018004,กลุ่มงานบริหารทั่วไป,พล 0733.301/ พิเศษ,18/10/2567,แท่นประทับ แบบฝาโลหะ สีดำ #2,P230-000484,วัสดุใช้ไป,วัสดุสำนักงาน,วัสดุสำนักงาน,24,อัน,28.5,684,จำนวน วงเงิน ราคา,,
A230671018004,กลุ่มงานบริหารทั่วไป,พล 0733.301/ พิเศษ,18/10/2567,ลวดเย็บกระดาษ เบอร์ 10,P230-000546,วัสดุใช้ไป,วัสดุสำนักงาน,วัสดุสำนักงาน,480,กล่อง,8.5,"4,080.00",จำนวน วงเงิน,,
A230671018004,กลุ่มงานบริหารทั่วไป,พล 0733.301/ พิเศษ,18/10/2567,กาว แบบติดแน่น (ตราช้าง) ขนาด 3 กรัม,P230-000450,วัสดุใช้ไป,วัสดุสำนักงาน,วัสดุสำนักงาน,12,อัน,18,216,จำนวน วงเงิน,,
A230671018004,กลุ่มงานบริหารทั่วไป,พล 0733.301/ พิเศษ,18/10/2567,กระดาษคาร์บอน สีน้ำเงิน,P230-000435,วัสดุใช้ไป,วัสดุสำนักงาน,วัสดุสำนักงาน,12,กล่อง,130,"1,560.00",จำนวน วงเงิน,,
A230671018004,กลุ่มงานบริหารทั่วไป,พล 0733.301/ พิเศษ,18/10/2567,ปากกา เคมี แบบ 2 หัว สีน้ำเงิน,P230-000517,วัสดุใช้ไป,วัสดุสำนักงาน,วัสดุสำนักงาน,120,ด้าม,10,"1,200.00",จำนวน วงเงิน ราคา,,
A230671018004,กลุ่มงานบริหารทั่วไป,พล 0733.301/ พิเศษ,18/10/2567,ลวดเสียบกระดาษ ขนาดใหญ่ เบอร์ 0,P230-000551,วัสดุใช้ไป,วัสดุสำนักงาน,วัสดุสำนักงาน,120,กล่อง,9.5,"1,140.00",จำนวน วงเงิน,,
A230671018004,กลุ่มงานบริหารทั่วไป,พล 0733.301/ พิเศษ,18/10/2567,ลวดเสียบกระดาษ ขนาดเล็ก เบอร์ 1,P230-000550,วัสดุใช้ไป,วัสดุสำนักงาน,วัสดุสำนักงาน,120,กล่อง,7.75,930,จำนวน วงเงิน ราคา,,
A230671018004,กลุ่มงานบริหารทั่วไป,พล 0733.301/ พิเศษ,18/10/2567,ธงชาติ ขนาด 120*180 ซม.,P230-000488,วัสดุใช้ไป,วัสดุสำนักงาน,วัสดุสำนักงาน,2,ผืน,100,200,จำนวน วงเงิน ราคา,,
A230671018004,กลุ่มงานบริหารทั่วไป,พล 0733.301/ พิเศษ,18/10/2567,ธง วปร. รัชกาลที่ 10 ขนาด 60*90 ซม.,P230-000487,วัสดุใช้ไป,วัสดุสำนักงาน,วัสดุสำนักงาน,6,ผืน,32,192,จำนวน วงเงิน,,
A230671025001,กลุ่มงานบริหารทั่วไป,พล 0733.301/ พิเศษ,25/10/2567,น้ำดื่ม ชนิดบรรจุแกลลอน ขนาด 18 ลิตร,P230-000341,วัสดุใช้ไป,วัสดุสำนักงาน,วัสดุสำนักงาน,496,ถัง,9,"4,464.00",จำนวน วงเงิน,,
A230671029001,กลุ่มงานบริหารทั่วไป,พล 0733.301/ พิเศษ,29/10/2567,หมึก Printer Laser 30A,P230-000042,วัสดุใช้ไป,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,5,กล่อง,890,"4,450.00",จำนวน วงเงิน,,
A230671029001,กลุ่มงานบริหารทั่วไป,พล 0733.301/ พิเศษ,29/10/2567,หมึก Printer Laser 225,P230-000041,วัสดุใช้ไป,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,5,กล่อง,430,"2,150.00",จำนวน วงเงิน ราคา,,
A230671029001,กลุ่มงานบริหารทั่วไป,พล 0733.301/ พิเศษ,29/10/2567,หมึก Printer Laser 107A,P230-000040,วัสดุใช้ไป,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,5,กล่อง,990,"4,950.00",จำนวน วงเงิน ราคา,,
A230671029001,กลุ่มงานบริหารทั่วไป,พล 0733.301/ พิเศษ,29/10/2567,หมึก Printer Laser Fuji m285Z P235,P230-000049,วัสดุใช้ไป,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,10,กล่อง,980,"9,800.00",จำนวน วงเงิน ราคา,,
A230671029001,กลุ่มงานบริหารทั่วไป,พล 0733.301/ พิเศษ,29/10/2567,หมึก Printer Laser PANTUM P2500,P230-000937,วัสดุใช้ไป,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,5,กล่อง,850,"4,250.00",จำนวน วงเงิน ราคา,,
A230671029001,กลุ่มงานบริหารทั่วไป,พล 0733.301/ พิเศษ,29/10/2567,หมึก Printer Laser TN 1000,P230-000936,วัสดุใช้ไป,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,5,กล่อง,390,"1,950.00",จำนวน วงเงิน,,
A230671029001,กลุ่มงานบริหารทั่วไป,พล 0733.301/ พิเศษ,29/10/2567,หมึก Printer Laser TN-2560,P230-001093,วัสดุใช้ไป,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,5,กล่อง,"1,390.00","6,950.00",จำนวน วงเงิน,,
A230671029001,กลุ่มงานบริหารทั่วไป,พล 0733.301/ พิเศษ,29/10/2567,หมึก Printer Ink jet T6641 สีดำ,P230-000035,วัสดุใช้ไป,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,10,ขวด,29,290,จำนวน วงเงิน,,
A230671029001,กลุ่มงานบริหารทั่วไป,พล 0733.301/ พิเศษ,29/10/2567,หมึก Printer Ink jet T6641 สีฟ้า,P230-000036,วัสดุใช้ไป,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,1,ขวด,290,290,จำนวน วงเงิน,,
A230671029001,กลุ่มงานบริหารทั่วไป,พล 0733.301/ พิเศษ,29/10/2567,หมึก Printer Ink jet T6641 สีชมพู,P230-000037,วัสดุใช้ไป,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,1,ขวด,290,290,จำนวน วงเงิน ราคา,,
A230671029001,กลุ่มงานบริหารทั่วไป,พล 0733.301/ พิเศษ,29/10/2567,หมึก Printer Ink jet T6641 สีเหลือง,P230-000038,วัสดุใช้ไป,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,1,ขวด,290,290,จำนวน วงเงิน,,
A230671029001,กลุ่มงานบริหารทั่วไป,พล 0733.301/ พิเศษ,29/10/2567,คีย์บอร์ด แบบ USB,P230-000020,วัสดุใช้ไป,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,2,อัน,320,640,จำนวน วงเงิน,,
A230671029001,กลุ่มงานบริหารทั่วไป,พล 0733.301/ พิเศษ,29/10/2567,เม้าท์ แบบ USB,P230-000025,วัสดุใช้ไป,วัสดุคอมพิวเตอร์,วัสดุคอมพิวเตอร์,2,อัน,250,500,จำนวน วงเงิน,,
A230671030001,กลุ่มงานบริหารทั่วไป,พล 0733.301/ พิเศษ,30/10/2567,ผ้าม็อบ สำหรับดันฝุ่น ขนาด 24 นิ้ว,P230-000137,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,12,ผืน,265,"3,180.00",จำนวน วงเงิน,,
A230671030001,กลุ่มงานบริหารทั่วไป,พล 0733.301/ พิเศษ,30/10/2567,ถุงมือ ชนิดยาง แบบรัดข้อ เบอร์ M,P230-000104,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,12,คู่,115,"1,380.00",จำนวน วงเงิน ราคา,,
A230671030001,กลุ่มงานบริหารทั่วไป,พล 0733.301/ พิเศษ,30/10/2567,ถุงมือ ชนิดยาง แบบรัดข้อ เบอร์ L,P230-000103,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,12,คู่,115,"1,380.00",จำนวน วงเงิน ราคา,,
A230671030001,กลุ่มงานบริหารทั่วไป,พล 0733.301/ พิเศษ,30/10/2567,สก็อตไบร์ท แบบแผ่นใหญ่ ขนาด 6*9 นิ้ว,P230-000173,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,120,แผ่น,25,"3,000.00",จำนวน วงเงิน,,
A230671030001,กลุ่มงานบริหารทั่วไป,พล 0733.301/ พิเศษ,30/10/2567,แปรง ชนิดพลาสติก สำหรับขัดพื้นแบบมีด้ามยาว,P230-000131,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,7,อัน,75,525,จำนวน วงเงิน ราคา,,
A230671107001,กลุ่มงานบริหารทั่วไป,พล 0733.301/ พิเศษ,7/11/2567,กระดาษเช็ดมือ,P230-000064,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,600,ม้วน,42,"25,200.00",จำนวน วงเงิน,,
A230671107001,กลุ่มงานบริหารทั่วไป,พล 0733.301/ พิเศษ,7/11/2567,น้ำยา สำหรับล้างจาน,P230-000124,วัสดุใช้ไป,วัสดุงานบ้านงานครัว,วัสดุงานบ้านงานครัว,20,แกลลอน,90,"1,800.00",จำนวน วงเงิน,,
A230671107002,กลุ่มงานบริหารทั่วไป,พล 0733.301/ พิเศษ,7/11/2567,เทปพิมพ์,P230-001042,วัสดุใช้ไป,วัสดุสำนักงาน,วัสดุสำนักงาน,4,ม้วน,600,"2,400.00",จำนวน วงเงิน,,
A230671107002,กลุ่มงานบริหารทั่วไป,พล 0733.301/ พิเศษ,7/11/2567,กระดาษกาวย่น แบบม้วน ขนาดกว้าง 1 นิ้ว 24x25 หลา,P230-000430,วัสดุใช้ไป,วัสดุสำนักงาน,วัสดุสำนักงาน,200,ม้วน,40,"8,000.00",จำนวน วงเงิน,,
